"NOMEMUN","numero_nascidos_vivos"
"Vitória das Missões",30
"Colorado",29
"Imigrante",29
"Itacurubi",29
"Jacutinga",29
"Jari",29
"Marques de Souza",29
"Mormaço",29
"Santo Antônio do Palma",29
"São José do Sul",29
"Travesseiro",29
"Benjamin Constant do Sul",28
"Charrua",28
"Faxinalzinho",28
"Lagoa Bonita do Sul",28
"Inhacorá",27
"São João do Polêsine",27
"São Vendelino",27
"Turuçu",27
"Unistalda",27
"Vale Verde",27
"Dom Pedro de Alcântara",26
"Fagundes Varela",26
"Maratá",26
"Nova Roma do Sul",26
"Boa Vista do Cadeado",25
"Coronel Barros",25
"Dilermando de Aguiar",25
"Monte Belo do Sul",25
"Salvador das Missões",25
"São Pedro do Butiá",25
"Silveira Martins",25
"Taquaruçu do Sul",25
"Garruchos",24
"Muliterno",24
"Porto Mauá",24
"Saldanha Marinho",24
"São Jorge",24
"Senador Salgado Filho",24
"Boa Vista das Missões",23
"Capão Bonito do Sul",23
"Centenário",23
"Engenho Velho",23
"Nicolau Vergueiro",23
"Nova Ramada",23
"Novo Xingu",23
"Quatro Irmãos",23
"Colinas",22
"Coqueiros do Sul",22
"Lajeado do Bugre",22
"Pedras Altas",22
"Rolador",22
"Boa Vista do Sul",21
"Pinhal da Serra",21
"Protásio Alves",21
"Vila Nova do Sul",21
"Arroio do Padre",20
"Novo Tiradentes",20
"Pirapó",20
"Santo Antônio do Planalto",20
"São Domingos do Sul",20
"Dezesseis de Novembro",19
"Pinto Bandeira",19
"São José do Inhacorá",19
"São Pedro das Missões",19
"Bom Progresso",18
"Bozano",18
"Cerro Branco",18
"Nova Pádua",18
"Santo Expedito do Sul",18
"São Martinho da Serra",18
"Toropi",18
"Forquetinha",17
"Mato Queimado",17
"Nova Boa Vista",17
"Santa Cecília do Sul",17
"Santa Margarida do Sul",17
"Sete de Setembro",17
"Vila Lângaro",17
"Almirante Tamandaré do Sul",16
"Canudos do Vale",16
"Doutor Ricardo",16
"Lagoa dos Três Cantos",16
"São José do Herval",16
"Vanini",16
"Vespasiano Correa",16
"Alto Alegre",15
"André da Rocha",15
"Cruzaltense",15
"Gentil",15
"Paulo Bento",15
"Ponte Preta",15
"Coqueiro Baixo",14
"Floriano Peixoto",14
"Itapuca",13
"Linha Nova",13
"Montauri",13
"Porto Vera Cruz",13
"Relvado",13
"São Valentim do Sul",13
"Sério",13
"Tupanci do Sul",13
"Barra do Rio Azul",12
"Coronel Pilar",12
"Ipiranga do Sul",12
"Quevedos",12
"Ubiretama",12
"Carlos Gomes",11
"Ivorá",11
"Vista Alegre do Prata",11
"Santa Tereza",10
"Mariano Moro",9
"Três Arroios",9
"Guabiju",7
"União da Serra",6
