"CODMUNRES","NOMEMUN","ANO_NASC","numero_nascidos_vivos"
430060,"Alvorada",2018,2995
430060,"Alvorada",2019,2758
430063,"Amaral Ferrador",2010,70
430063,"Amaral Ferrador",2011,66
430063,"Amaral Ferrador",2012,52
430063,"Amaral Ferrador",2013,60
430063,"Amaral Ferrador",2014,61
430063,"Amaral Ferrador",2015,57
430063,"Amaral Ferrador",2016,55
430063,"Amaral Ferrador",2017,48
430063,"Amaral Ferrador",2018,54
430063,"Amaral Ferrador",2019,61
430064,"Ametista do Sul",2010,70
430064,"Ametista do Sul",2011,71
430064,"Ametista do Sul",2012,78
430064,"Ametista do Sul",2013,78
430064,"Ametista do Sul",2014,73
430064,"Ametista do Sul",2015,94
430064,"Ametista do Sul",2016,69
430064,"Ametista do Sul",2017,77
430064,"Ametista do Sul",2018,82
430064,"Ametista do Sul",2019,84
430066,"André da Rocha",2010,10
430066,"André da Rocha",2011,12
430066,"André da Rocha",2012,15
430066,"André da Rocha",2013,13
430066,"André da Rocha",2014,11
430066,"André da Rocha",2015,14
430066,"André da Rocha",2016,11
430066,"André da Rocha",2017,6
430066,"André da Rocha",2018,15
430066,"André da Rocha",2019,6
430070,"Anta Gorda",2010,41
430070,"Anta Gorda",2011,40
430070,"Anta Gorda",2012,54
430070,"Anta Gorda",2013,52
430070,"Anta Gorda",2014,41
430070,"Anta Gorda",2015,60
430070,"Anta Gorda",2016,59
430070,"Anta Gorda",2017,56
430070,"Anta Gorda",2018,56
430070,"Anta Gorda",2019,60
430080,"Antônio Prado",2010,121
430080,"Antônio Prado",2011,135
430080,"Antônio Prado",2012,127
430080,"Antônio Prado",2013,129
430080,"Antônio Prado",2014,144
430080,"Antônio Prado",2015,149
430080,"Antônio Prado",2016,137
